Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,36.20000076293945,38.2599983215332,34.209999084472656,37.619998931884766,32.71525955200195,239782900
2019-02-01,37.75,39.91999816894531,37.380001068115234,39.04999923706055,33.958831787109375,133380800
2019-03-01,39.36000061035156,41.2400016784668,37.939998626708984,40.959999084472656,35.619808197021484,128653700
2019-04-01,41.08000183105469,45.63999938964844,40.7400016784668,43.81999969482422,38.10694122314453,180320800
2019-05-01,44.290000915527344,45.13999938964844,37.18000030517578,38.349998474121094,33.35007858276367,221575900
2019-06-01,38.959999084472656,40.720001220703125,37.65999984741211,39.16999816894531,34.06318283081055,167156200
2019-07-01,41.540000915527344,44.880001068115234,39.2400016784668,42.630001068115234,38.27745819091797,145802500
2019-08-01,42.75,43.38999938964844,39.779998779296875,42.630001068115234,38.27745819091797,134172500
2019-09-01,42.150001525878906,46.7400016784668,41.58000183105469,46.47999954223633,41.734371185302734,127779300
2019-10-01,46.959999084472656,52.060001373291016,46.2400016784668,51.630001068115234,46.69237518310547,194929300
2019-11-01,51.88999938964844,54.369998931884766,51.70000076293945,53.09000015258789,48.01274871826172,107896000
2019-12-01,53.54999923706055,59.709999084472656,52.18000030517578,58.099998474121094,52.54362106323242,132515900
2020-01-01,59.599998474121094,60.63999938964844,53.599998474121094,53.939998626708984,49.12223815917969,181023600
2020-02-01,54.349998474121094,59.75,51.0,53.84000015258789,49.03117370605469,162096800
2020-03-01,54.369998931884766,57.09000015258789,42.70000076293945,47.790000915527344,43.52153396606445,275865900
2020-04-01,46.83000183105469,54.689998626708984,46.29999923706055,53.130001068115234,48.843631744384766,187057700
2020-05-01,52.47999954223633,53.34000015258789,49.380001068115234,50.33000183105469,46.26952362060547,194199900
2020-06-01,50.90999984741211,58.040000915527344,50.540000915527344,56.77000045776367,52.189964294433594,168937600
2020-07-01,56.970001220703125,83.4000015258789,56.7599983215332,78.88999938964844,73.06757354736328,342293900
2020-08-01,77.7699966430664,84.0,75.9800033569336,79.25,73.4010238647461,177390900
2020-09-01,80.12000274658203,86.79000091552734,76.16999816894531,81.06999969482422,75.08667755126953,216135000
2020-10-01,82.05999755859375,91.2699966430664,80.61000061035156,83.87000274658203,78.08111572265625,167495100
2020-11-01,84.5999984741211,102.44000244140625,84.52999877929688,97.0199966430664,90.32344818115234,163153400
2020-12-01,98.69000244140625,109.69999694824219,98.5199966430664,109.04000091552734,101.51380920410156,164426200
2021-01-01,111.47000122070312,136.1300048828125,110.44999694824219,121.5199966430664,113.60974884033203,322308600
2021-02-01,124.54000091552734,142.1999969482422,122.83000183105469,125.94000244140625,117.74201202392578,216563100
2021-03-01,129.6300048828125,130.3000030517578,107.88999938964844,118.27999877929688,110.5806655883789,296567600
2021-04-01,122.80999755859375,127.4000015258789,113.7699966430664,116.73999786376953,109.5521240234375,214180200
2021-05-01,117.47000122070312,119.41999816894531,107.87000274658203,117.36000061035156,110.13394165039062,169806000
2021-06-01,119.70999908447266,122.0,112.01000213623047,120.16000366210938,112.76156616210938,178232100
2021-07-01,120.0999984741211,125.77999877929688,112.05000305175781,116.63999938964844,109.8781509399414,185969600
2021-08-01,117.5,120.80000305175781,107.68000030517578,119.01000213623047,112.11077117919922,172912800
